[Friday/July 28/07/2023 14:42:55] /home/dny4/Downloads/yt/TheraminTrees/rumination ｜ combatting repetitive thoughts [cc] [o1G4JFuLlO8].mp4 | length=1586 | time=1043.0837083333
[Friday/July 28/07/2023 14:47:58] /home/dny4/Videos/series/Witcher/The.Witcher.S03E01.Shaerrawedd.mkv | length=3774.931 | time=0.708
[Friday/July 28/07/2023 14:48:00] /home/dny4/Videos/series/Witcher/The.Witcher.S03E02.Unbound.mkv | length=3470.931 | time=0.875
[Friday/July 28/07/2023 15:32:09] /home/dny4/Videos/series/Witcher/The.Witcher.S03E06.Everybody.Has.a.Plan.til.They.Get.Punched.in.the.Face.mkv | length=2916.292 | time=2609.417
[Friday/July 28/07/2023 16:20:29] /home/dny4/Videos/series/Witcher/The.Witcher.S03E07.Out.of.the.Fire.Into.the.Frying.Pan.mkv | length=3172.947 | time=2890.958
[Friday/July 28/07/2023 19:11:50] /home/dny4/Videos/series/Witcher/The.Witcher.S03E08.The.Cost.of.Chaos.mkv | length=3928.958 | time=3677.625
[Saturday/July 29/07/2023 19:09:47] /home/dny4/Videos/movies/Suȥume.2022.mkv | length=7288 | time=1728
[Saturday/July 29/07/2023 20:51:49] /home/dny4/Videos/movies/Nightcrawler.2014.mkv | length=7085.312 | time=1842.382
[Saturday/July 29/07/2023 20:55:39] /home/dny4/Downloads/Invincible Atom Eve Special (2023) 720p AMZN WEB-DL HINDI-ENGLISH DD5.1 ESubs - Vegamovies.to.mkv | length=3340.885 | time=86.107
[Saturday/July 29/07/2023 20:56:07] /home/dny4/Downloads/Bicentennial.Man.1999.720p.WEB-HD.x264.950MB-Pahe.in.mkv | length=7886.644 | time=1164.789
[Monday/July 31/07/2023 10:05:40] /home/dny4/Downloads/Manufacturing Consent： Noam Chomsky and the Media ｜ Documentary [BQXsPU25B60].mp4 | length=10026.4 | time=2035.0663666667
[Monday/July 31/07/2023 19:56:07] /home/dny4/Downloads/FullMetal Alchemist (2017) 1080p BluRay 10bit HEVC [DDP 5.DTMrubJP.1 Hindi AAC 5.1 Japanese] x265 (VXTUHDMovies).mkv.part | length=8109.024 | time=2433.015
[Monday/July 31/07/2023 20:29:32] /home/dny4/Downloads/The.Animatrix.2003.mkv | length=6050.503 | time=2680.344
[Monday/July 31/07/2023 22:29:41] /home/dny4/Videos/movies/Bicentennial.Man.1999.mkv | length=7886.644 | time=1.293
[Tuesday/August 01/08/2023 13:57:08] /home/dny4/this is enough. [cJTk8V1yPRk].mp4 | length=439.67 | time=0
[Tuesday/August 01/08/2023 14:01:10] /home/dny4/Courses/sisyphus55/sisyphus/BE COOL! The Philosophy of Coolness [Kp1FKrXApmU].mp4 | length=614 | time=0
[Tuesday/August 01/08/2023 14:04:32] /home/dny4/this is enough. [cJTk8V1yPRk].mp4 | length=439.67 | time=439.66984127001
[Tuesday/August 01/08/2023 14:07:30] /home/dny4/Courses/sisyphus55/sisyphus/BE COOL! The Philosophy of Coolness [Kp1FKrXApmU].mp4 | length=614 | time=270.5
[Tuesday/August 01/08/2023 15:15:57] /home/dny4/Downloads/Star.Trek.Strange.New.Worlds.S02E08.Under.the.Cloak.of.War.720p.WEB-HD.x264.350MB-Pahe.in.mkv | length=2977.972 | time=2971.042
[Tuesday/August 01/08/2023 15:17:31] /home/dny4/Warrior.2019.S03E07.Gotta.Be.Crooked.to.Get.Along.in.a.Crooked.World.720p.WEB-DL.x264.400MB-Pahe.in.mkv | length=3114.74 | time=9.676
[Tuesday/August 01/08/2023 16:37:50] /home/dny4/Downloads/Warrior.2019.S03E07.Gotta.Be.Crooked.to.Get.Along.in.a.Crooked.World.720p.WEB-DL.x264.400MB-Pahe.in.mkv | length=3114.74 | time=3067.272
[Tuesday/August 01/08/2023 17:11:17] /home/dny4/Downloads/TerrorVision.1986.UNCUT.720p.BluRay.x264.750MB-Pahe.in.mkv | length=5111.561 | time=563.563
[Tuesday/August 01/08/2023 18:55:49] /home/dny4/Stop Studying Programming [QMbx0dTWJIQ].mp4 | length=115.427 | time=9.5833333333333
[Tuesday/August 01/08/2023 19:06:25] /home/dny4/Downloads/yt/bigboxSWE/Best Free Course to Learn Web Development (for complete beginners) [Ea4PAoDsz5k].mkv | length=188.638 | time=6.264
[Tuesday/August 01/08/2023 19:06:29] /home/dny4/Downloads/yt/bigboxSWE/Best Free Course to Learn Web Development [Ea4PAoDsz5k].mkv | length=188.638 | time=2.889
[Tuesday/August 01/08/2023 19:06:51] /home/dny4/Downloads/yt/bigboxSWE/Stop Studying Programming [QMbx0dTWJIQ].mp4 | length=115.427 | time=12.166666666667
[Tuesday/August 01/08/2023 19:08:00] /home/dny4/Downloads/yt/TheraminTrees/blu ｜ animation short [5zbKKoRyHyA].mp4 | length=148.98 | time=148.98
[Tuesday/August 01/08/2023 19:09:15] /home/dny4/Downloads/yt/TheraminTrees/blu ｜ animation short [5zbKKoRyHyA].mp4 | length=148.98 | time=109.13333333333
[Tuesday/August 01/08/2023 20:00:44] /home/dny4/Downloads/yt/TheraminTrees/overcoming malignant shame [cc] [kMeehIpxH5k].mp4 | length=2051 | time=2050.554195012
[Tuesday/August 01/08/2023 20:11:11] /home/dny4/Downloads/this is enough. [cJTk8V1yPRk].mp4 | length=439.67 | time=439.66984127001
[Tuesday/August 01/08/2023 20:12:08] /home/dny4/Videos/music/The Marías - All I Really Want Is You [ScTkEsOKfvg].mp4 | length=193.376 | time=2.6693333333333
[Tuesday/August 01/08/2023 22:40:24] /home/dny4/Videos/series/Foundation/Foundation.2021.S02E01.In.Seldons.Shadow.mkv | length=2960.254 | time=2901.19
[Wednesday/August 02/08/2023 13:56:57] /home/dny4/Videos/series/Foundation/Foundation.2021.S02E02.A.Glimpse.of.Darkness.mkv | length=3232.808 | time=2317.69
[Wednesday/August 02/08/2023 14:52:13] /home/dny4/bigboxSWE - Videos/05 - Software Engineering Anxiety.mp4 | length=294.104 | time=24.583333333333
[Wednesday/August 02/08/2023 15:41:38] /home/dny4/Videos/series/Foundation/Foundation.2021.S02E02.A.Glimpse.of.Darkness.mkv | length=3232.808 | time=3180.469
[Wednesday/August 02/08/2023 16:43:26] /home/dny4/bigboxSWE/01 - My Failures as a Software Engineer.mp4 | length=158.523 | time=158.5226303855
[Wednesday/August 02/08/2023 22:43:16] /home/dny4/Downloads/BrBa.S02E01.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2835.7 | time=4.922
[Wednesday/August 02/08/2023 22:43:27] /home/dny4/Downloads/BrBa.S02E01.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2835.7 | time=2.628
[Wednesday/August 02/08/2023 23:26:50] /home/dny4/Downloads/BrBa.S02E01.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2835.7 | time=2803.926
[Thursday/August 03/08/2023 00:16:57] /home/dny4/Downloads/BrBa.S02E02.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2877.77 | time=2840.88
[Thursday/August 03/08/2023 08:11:32] /home/dny4/Downloads/BrBa.S02E03.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2819.7 | time=2034.866
[Thursday/August 03/08/2023 11:08:15] /home/dny4/Downloads/BrBa.S02E03.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2819.7 | time=2784.115
[Thursday/August 03/08/2023 12:12:43] /home/dny4/Downloads/BrBa.S02E04.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2844.746 | time=2827.658
[Thursday/August 03/08/2023 12:48:25] /home/dny4/Downloads/BrBa.S02E05.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2841.716 | time=2813.894
[Thursday/August 03/08/2023 13:07:54] /home/dny4/Downloads/BrBa.S02E06.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2842.698 | time=2806.22
[Thursday/August 03/08/2023 13:56:08] /home/dny4/Downloads/BrBa.S02E07.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2841.716 | time=2802.883
[Thursday/August 03/08/2023 14:59:29] /home/dny4/Downloads/BrBa.S02E08.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2841.716 | time=2799.547
[Thursday/August 03/08/2023 15:26:03] /home/dny4/Downloads/BrBa.S02E09.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2841.716 | time=2802.299
[Thursday/August 03/08/2023 15:47:17] /home/dny4/Downloads/BrBa.S02E10.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2842.698 | time=2798.921
[Thursday/August 03/08/2023 16:09:45] /home/dny4/Downloads/BrBa.S02E11.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2841.716 | time=2815.271
[Thursday/August 03/08/2023 16:34:10] /home/dny4/Downloads/BrBa.S02E12.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2844.746 | time=2801.048
[Thursday/August 03/08/2023 17:07:14] /home/dny4/Downloads/BrBa.S02E13.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2854.73 | time=2815.187
[Thursday/August 03/08/2023 18:09:41] /home/dny4/Downloads/BrBa.S03E01.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2832.714 | time=2792.039
[Thursday/August 03/08/2023 18:42:14] /home/dny4/Downloads/BrBa.S03E02.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2832.714 | time=2794.959
[Thursday/August 03/08/2023 19:30:13] /home/dny4/Downloads/BrBa.S03E03.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.738 | time=2806.22
[Thursday/August 03/08/2023 20:16:37] /home/dny4/Downloads/BrBa.S03E04.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.738 | time=2788.327
[Thursday/August 03/08/2023 20:46:13] /home/dny4/Downloads/BrBa.S03E05.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.738 | time=2792.373
[Thursday/August 03/08/2023 22:53:14] /home/dny4/Downloads/BrBa.S03E06.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.738 | time=2792.206
[Thursday/August 03/08/2023 23:38:08] /home/dny4/Downloads/BrBa.S03E07.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.623 | time=2793.082
[Thursday/August 03/08/2023 23:38:29] /home/dny4/Downloads/BrBa.S03E07.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.623 | time=174.758
[Friday/August 04/08/2023 12:00:25] /home/dny4/Downloads/BrBa.S03E07.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.623 | time=186.52
[Friday/August 04/08/2023 12:31:16] /home/dny4/Downloads/BrBa.S03E08.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2834.719 | time=2792.748
[Friday/August 04/08/2023 13:43:27] /home/dny4/Downloads/BrBa.S03E09.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2832.714 | time=2209.874
[Friday/August 04/08/2023 13:46:30] /home/dny4/Downloads/BrBa.S03E09.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2832.714 | time=2796.961
[Friday/August 04/08/2023 15:42:27] /home/dny4/👍👍👍👍👍 [2ipue6wg50gb1].mp4 | length=16.267 | time=16.2346875
[Friday/August 04/08/2023 15:42:48] /home/dny4/GOOD SCHOOL DAYS  [pvha4tfoowfb1].mp4 | length=16.367 | time=16.333333333333
[Friday/August 04/08/2023 15:43:23] /home/dny4/Downloads/BrBa.S03E09.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2832.714 | time=47.673
[Friday/August 04/08/2023 15:43:36] /home/dny4/Downloads/TerrorVision.1986.UNCUT.720p.BluRay.x264.750MB-Pahe.in.mkv | length=5111.561 | time=170.128
[Friday/August 04/08/2023 15:43:58] /home/dny4/Downloads/BrBa.S03E04.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.738 | time=242.492
[Friday/August 04/08/2023 21:29:03] /home/dny4/Downloads/BrBa.S03E10.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.695 | time=2833.695
[Saturday/August 05/08/2023 14:09:00] /home/dny4/Videos/music/The Marías - All I Really Want Is You [ScTkEsOKfvg].mp4 | length=193.376 | time=150.81733333333
[Saturday/August 05/08/2023 14:09:16] /home/dny4/Videos/music/The Marías - Un Millón [cQZDH4NWmaU].mp4 | length=167.834 | time=126.375
[Saturday/August 05/08/2023 14:11:30] /home/dny4/Videos/music/The Marías - Un Millón [cQZDH4NWmaU].webm | length=167.861 | time=121.291
[Saturday/August 05/08/2023 14:12:39] /home/dny4/Downloads/👍👍👍👍👍 [2ipue6wg50gb1].mp4 | length=16.267 | time=16.2346875
[Saturday/August 05/08/2023 23:14:47] /home/dny4/Downloads/BrBa.S03E10.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.695 | time=2827.324
[Saturday/August 05/08/2023 23:52:19] /home/dny4/Downloads/BrBa.S03E11.720p.BrRip.x264.350MB-Pahe.in.mkv | length=2833.738 | time=2833.738
[Sunday/August 06/08/2023 09:33:55] /home/dny4/2023-08-06 09-32-37.mkv | length=44.966 | time=21.467
[Sunday/August 06/08/2023 09:34:35] /home/dny4/Videos/Screencasts/Screencast from 08-06-2023 09:34:10 AM.webm | length=0 | time=5.524
[Sunday/August 06/08/2023 09:35:51] /home/dny4/Videos/Kooha/Kooha-2023-08-06-09-35-00.webm | length=23.1 | time=23.067
[Sunday/August 06/08/2023 09:37:40] /home/dny4/Videos/Kooha/Kooha-2023-08-06-09-35-56.webm | length=46 | time=45.970000000002
